"measure","Area","Sex","age","Year","val","upper","lower"
"HALE (Healthy life expectancy)","Hampshire","Both","<1 year",2014,70.62951067,73.58124783,67.12910679
"HALE (Healthy life expectancy)","West Sussex","Male","<1 year",2014,69.53203765,72.18549308,66.4633262
"HALE (Healthy life expectancy)","West Sussex","Female","<1 year",2014,71.0461851,74.14533088,67.40823833
"HALE (Healthy life expectancy)","West Sussex","Both","<1 year",2014,70.32639914,73.18739613,66.95737139
"HALE (Healthy life expectancy)","Oxfordshire","Male","<1 year",2014,70.12425517,72.73581302,66.99030451
"HALE (Healthy life expectancy)","Oxfordshire","Female","<1 year",2014,71.13413999,74.25860607,67.59848722
"HALE (Healthy life expectancy)","Oxfordshire","Both","<1 year",2014,70.65591616,73.4990393,67.30593578
"HALE (Healthy life expectancy)","Kent","Male","<1 year",2014,69.27319733,71.92884514,66.20334226
"HALE (Healthy life expectancy)","Kent","Female","<1 year",2014,70.73276736,73.87718394,67.09837578
"HALE (Healthy life expectancy)","Kent","Both","<1 year",2014,70.02721799,72.91065822,66.68938006
"HALE (Healthy life expectancy)","East Sussex","Male","<1 year",2014,69.1535396,71.77947321,66.05484515
"HALE (Healthy life expectancy)","East Sussex","Female","<1 year",2014,70.88788449,74.02684631,67.20764588
"HALE (Healthy life expectancy)","East Sussex","Both","<1 year",2014,70.05481334,72.91551374,66.72692729
"HALE (Healthy life expectancy)","Devon","Male","<1 year",2014,69.28741094,71.90351145,66.28629932
"HALE (Healthy life expectancy)","Devon","Female","<1 year",2014,71.23290035,74.39634955,67.64316615
"HALE (Healthy life expectancy)","Devon","Both","<1 year",2014,70.27745539,73.14741568,66.97518709
"HALE (Healthy life expectancy)","Gloucestershire","Male","<1 year",2014,69.79429559,72.43827704,66.67403842
"HALE (Healthy life expectancy)","Gloucestershire","Female","<1 year",2014,70.72915536,73.86764277,67.10674561
"HALE (Healthy life expectancy)","Gloucestershire","Both","<1 year",2014,70.28696636,73.15067078,66.89338709
"HALE (Healthy life expectancy)","Somerset","Male","<1 year",2014,69.5497914,72.14050937,66.46313072
"HALE (Healthy life expectancy)","Somerset","Female","<1 year",2014,71.35844293,74.59306207,67.65905448
"HALE (Healthy life expectancy)","Somerset","Both","<1 year",2014,70.47515855,73.36671869,67.1599173
"HALE (Healthy life expectancy)","Suffolk","Male","<1 year",2001,67.68512027,70.15094424,64.7935586
"HALE (Healthy life expectancy)","Suffolk","Female","<1 year",2001,69.72548162,72.66325687,66.24188248
"HALE (Healthy life expectancy)","Suffolk","Both","<1 year",2001,68.74008533,71.43092867,65.53235581
"HALE (Healthy life expectancy)","Essex","Male","<1 year",2001,67.69265188,70.07296502,64.90566151
"HALE (Healthy life expectancy)","Essex","Female","<1 year",2001,69.58130424,72.52047628,66.17646097
"HALE (Healthy life expectancy)","Essex","Both","<1 year",2001,68.68685171,71.34047888,65.60925742
"HALE (Healthy life expectancy)","Cambridgeshire","Male","<1 year",2001,67.5935866,70.06753819,64.64568994
"HALE (Healthy life expectancy)","Cambridgeshire","Female","<1 year",2001,69.6908139,72.62492455,66.26606532
"HALE (Healthy life expectancy)","Cambridgeshire","Both","<1 year",2001,68.67687408,71.35744318,65.4097306
"HALE (Healthy life expectancy)","Hampshire","Male","<1 year",2002,68.0516702,70.48751344,65.14790929
"HALE (Healthy life expectancy)","Hampshire","Female","<1 year",2002,69.97649064,72.99410967,66.54961997
"HALE (Healthy life expectancy)","Hampshire","Both","<1 year",2002,69.06570711,71.7988095,65.90891384
"HALE (Healthy life expectancy)","West Sussex","Male","<1 year",2002,68.01747611,70.45419976,65.10592102
"HALE (Healthy life expectancy)","West Sussex","Female","<1 year",2002,69.62323376,72.59236781,66.2490627
"HALE (Healthy life expectancy)","West Sussex","Both","<1 year",2002,68.8935154,71.59409826,65.74019291
"HALE (Healthy life expectancy)","Oxfordshire","Male","<1 year",2002,67.88471122,70.35405096,65.03855989
"HALE (Healthy life expectancy)","Oxfordshire","Female","<1 year",2002,70.09381574,73.13245333,66.6300858
"HALE (Healthy life expectancy)","Oxfordshire","Both","<1 year",2002,69.03224051,71.80554704,65.88426032
"HALE (Healthy life expectancy)","Kent","Male","<1 year",2002,67.13056432,69.60738229,64.3087013
